Settlement_Name_ru,Settlement_Name_en
Апатиты,Apatity
Архангельск,Arkhangelsk
Воркута,Vorkuta
Губкинский,Gubkinkii
Дудинка,Dudinka
Заполярный,Zapolyarnii
Кандалакша,Kaldalaksha
Кировск,Kirovsk
Ковдор,Kovdor
Кола,Kola
Лабытнанги,Labytnangi
Мончегорск,Monchegorsk
Муравленко,Muravlenko
Мурманск,Murmansk
Надым,Nadym
Нарьян-Мар,Nar'yan-Mar
Новодвинск,Novodvinsk
Новый Уренгой,Novyi Urengoi
Норильск,Noril'sk
Ноябрьск,Noyabr'sk
Оленегорск,Olenegorsk
Онега,Onega
Полярные Зори,Polyarnie Zori
Ревда,Revda
Салехард,Salekhard
Северодвинск,Severodvinsk
Тарко-Сале,Tarko-Sale
